Lab,Trial,Day,Group,ForagingTime,CauseOfDeath
T,4,12,6,,h
T,5,12,6,32,
T,1,12,7,13,
T,2,12,7,26,
T,1,12,8,21,
T,2,12,8,17,
T,3,12,8,15,
T,4,12,8,8,
T,5,12,8,19,
T,1,12,9,26,
T,2,12,9,20,
T,3,12,9,15,
T,4,12,9,,h
T,5,12,9,52,
W,1,12,10,8,
W,2,12,10,31,
W,3,12,10,19,
W,4,12,10,12,
W,5,12,10,29,
W,1,12,11,25,
W,2,12,11,31,
W,3,12,11,12,
W,4,12,11,37,
W,5,12,11,23,
W,1,12,12,13,
W,2,12,12,30,
W,3,12,12,20,
W,4,12,12,33,
W,5,12,12,29,
W,1,12,13,16,
W,2,12,13,9,
W,3,12,13,,h
W,4,12,13,15,
W,5,12,13,42,
W,1,12,14,9,
W,2,12,14,55,
W,1,12,15,15,
W,2,12,15,21,
W,3,12,15,53,
W,4,12,15,8,
W,5,12,15,9,
W,1,12,16,8,
W,2,12,16,24,
W,3,12,16,,h
W,4,12,16,4,
W,5,12,16,5,
M,1,13,1,23,
M,2,13,1,9,
M,3,13,1,,h
M,4,13,1,,h
M,5,13,1,16,
M,1,13,2,12,
M,2,13,2,60,s
M,3,13,2,28,
M,1,13,3,50,
M,2,13,3,40,
M,3,13,3,21,
M,4,13,3,60,s
M,5,13,3,,h
M,1,13,4,20,
M,2,13,4,38,
M,4,13,4,13,
M,5,13,4,12,
M,1,13,5,17,
M,2,13,5,15,
M,3,13,5,45,
M,4,13,5,,h
M,5,13,5,,h
T,1,13,6,32,
T,2,13,6,24,
T,3,13,6,,h
T,4,13,6,21,
T,5,13,6,22,
T,1,13,7,13,
T,2,13,7,54,
T,1,13,8,38,
T,2,13,8,14,
T,3,13,8,21,
T,4,13,8,17,
T,5,13,8,27,
T,1,13,9,30,
T,2,13,9,60,s
T,3,13,9,48,
T,4,13,9,,h
T,5,13,9,,g
W,1,13,10,10,
W,2,13,10,,
W,3,13,10,12,
W,4,13,10,14,
W,5,13,10,,h
W,1,13,11,19,
W,2,13,11,27,
W,3,13,11,13,
W,4,13,11,44,
W,5,13,11,18,
W,1,13,12,20,
W,2,13,12,59,
W,3,13,12,,h
W,4,13,12,,h
W,5,13,12,42,
W,1,13,13,17,
W,2,13,13,18,
W,3,13,13,,h
W,4,13,13,38,
W,5,13,13,22,
W,1,13,14,8,
W,2,13,14,26,
W,1,13,15,18,
W,2,13,15,26,
W,3,13,15,10,
W,4,13,15,,h
